app,review,rating,date,clean,processed,feature_request,complaint_type,sentiment_score,sentiment
Instagram,kitten Bagel,5,2026-04-29 16:17:04,kitten bagel,kitten bagel,False,Other,0.0,Neutral
Instagram,It's joyful,5,2026-04-29 16:16:39,its joyful,joyful,False,Other,0.0,Neutral
Instagram,pls glich thik kro sare,5,2026-04-29 16:16:29,pls glich thik kro sare,pls glich thik kro sare,False,Other,0.0,Neutral
Instagram,"Very bad experience with this app. Whenever I follow any one or anyone follows me, My follower and followings count still remains zero. And whenever I open the I'd of anyone it also show their followers and followings zero and also didn't show their posts.Plz fix this.",1,2026-04-29 16:15:42,very bad experience with this app whenever i follow any one or anyone follows me my follower and followings count still remains zero and whenever i open the id of anyone it also show their followers and followings zero and also didnt show their postsplz fix this,bad experience app follow follow follower following count remain zero open d follower following zero not postsplz fix,False,Other,-0.4549999999999999,Negative
Instagram,complete waste of time,1,2026-04-29 16:15:34,complete waste of time,complete waste time,False,Other,-0.05,Neutral
Instagram,excellent,5,2026-04-29 16:15:31,excellent,excellent,False,Other,1.0,Positive
Instagram,this instagram is people life very injoy full moment,5,2026-04-29 16:15:26,this instagram is people life very injoy full moment,instagram people life injoy moment,False,Other,0.275,Positive
Instagram,there is an technical issue with my Instagram I can't watch reels it keeps loading I have checked everything.....and everything seems to be find my wifi and all but still Im facing the problem....please handle the issue it's very problematic for me I have uninstalled the app and then reinstall the app but still can't fix the problem,3,2026-04-29 16:15:11,there is an technical issue with my instagram i cant watch reels it keeps loading i have checked everythingand everything seems to be find my wifi and all but still im facing the problemplease handle the issue its very problematic for me i have uninstalled the app and then reinstall the app but still cant fix the problem,technical issue instagram not watch reel keep load check everythingand find wifi m face problemplease handle issue problematic uninstalle app reinstall app not fix problem,True,Other,0.1,Neutral
Instagram,maind blowing,5,2026-04-29 16:14:17,maind blowing,maind blow,False,Other,0.0,Neutral
Instagram,yesterday i written about my problem and also mailed instagram team.. now i really appreciate it.. now it's resolved thank you so much ig team,5,2026-04-29 16:14:16,yesterday i written about my problem and also mailed instagram team now i really appreciate it now its resolved thank you so much ig team,yesterday write problem mail instagram team appreciate resolve thank ig team,False,Other,0.2,Positive
Instagram,good app❤️,5,2026-04-29 16:14:13,good app,good app,False,Other,0.7,Positive
Instagram,my Instagram id hack satyam pndt 315 recover id,1,2026-04-29 16:14:03,my instagram id hack satyam pndt  recover id,instagram d hack satyam pndt   recover d,False,Other,0.0,Neutral
Instagram,my most favourite aap i never get bored while using it,5,2026-04-29 16:13:48,my most favourite aap i never get bored while using it,favourite aap bored,False,Other,0.0,Neutral
Instagram,its amzing,5,2026-04-29 16:13:37,its amzing,amzing,False,Other,0.0,Neutral
Instagram,good 👍😊,5,2026-04-29 16:13:16,good ,good,False,Other,0.7,Positive
Instagram,Not yet complete. Needs more features and tools. Remove sanctions against Iranian people,1,2026-04-29 16:13:12,not yet complete needs more features and tools remove sanctions against iranian people,complete need feature tool remove sanction iranian people,True,Other,0.3,Positive
Instagram,best app ever I downloaded,5,2026-04-29 16:12:41,best app ever i downloaded,good app download,False,Other,1.0,Positive
Instagram,"terrible, they keep suspending my account even though I didn't do anything wrong. is watching reels and posting photos a crime? I thought that was what this app is for.",1,2026-04-29 16:12:20,terrible they keep suspending my account even though i didnt do anything wrong is watching reels and posting photos a crime i thought that was what this app is for,terrible suspend account not wrong watch reel post photo crime think app,False,Other,-0.75,Negative
Instagram,Abto video viral kardo yaar,5,2026-04-29 16:11:07,abto video viral kardo yaar,abto video viral kardo yaar,False,Other,0.0,Neutral
Instagram,good,2,2026-04-29 16:10:26,good,good,False,Other,0.7,Positive
Instagram,very good app for teenagers and men my instagram username [feno.owwhhh],5,2026-04-29 16:10:19,very good app for teenagers and men my instagram username fenoowwhhh,good app teenager man instagram username fenoowwhhh,False,Other,0.9099999999999999,Positive
Instagram,Super Se Upar 👌,5,2026-04-29 16:09:47,super se upar ,super se upar,False,Other,0.3333333333333333,Positive
Instagram,👍 good,5,2026-04-29 16:09:04, good,  good,False,Other,0.7,Positive
Instagram,good app,5,2026-04-29 16:08:59,good app,good app,False,Other,0.7,Positive
Instagram,best ⭐🤝,5,2026-04-29 16:08:47,best ,well,False,Other,1.0,Positive
Instagram,Instagram not log in,1,2026-04-29 16:08:47,instagram not log in,instagram log,False,Other,0.0,Neutral
Instagram,super,5,2026-04-29 16:08:42,super,super,False,Other,0.3333333333333333,Positive
Instagram,"dear instagram team, my instagram account investorstockpro, boldheartusa, ujjwalstockgyaan are suspended. I'm not violating any policy. please please help me.",5,2026-04-29 16:08:08,dear instagram team my instagram account investorstockpro boldheartusa ujjwalstockgyaan are suspended im not violating any policy please please help me,dear instagram team instagram account investorstockpro boldheartusa ujjwalstockgyaan suspend m violate policy help,False,Other,0.0,Neutral
Instagram,bas,4,2026-04-29 16:07:26,bas,bas,False,Other,0.0,Neutral
Instagram,Nice,5,2026-04-29 16:07:04,nice,nice,False,Other,0.6,Positive
Instagram,instagram is beautiful,1,2026-04-29 16:06:18,instagram is beautiful,instagram beautiful,False,Other,0.85,Positive
Instagram,"very bad experience 😞😕 in Instagram ,why Instagram account suspended any reason very bad experience",1,2026-04-29 16:05:32,very bad experience  in instagram why instagram account suspended any reason very bad experience,bad experience   instagram instagram account suspend reason bad experience,False,Other,-0.9099999999999998,Negative
Instagram,why does it keep crashing after the new update?! do i have to move to tiktok?!,1,2026-04-29 16:05:27,why does it keep crashing after the new update do i have to move to tiktok,crash new update tiktok,True,Bug,0.13636363636363635,Positive
Instagram,nice,3,2026-04-29 16:04:49,nice,nice,False,Other,0.6,Positive
Instagram,best application,5,2026-04-29 16:03:25,best application,good application,False,Other,1.0,Positive
Instagram,nice ji❤❤,5,2026-04-29 16:03:22,nice ji,nice ji,False,Other,0.6,Positive
Instagram,good at always,5,2026-04-29 16:03:12,good at always,good,False,Other,0.7,Positive
Instagram,Nice,5,2026-04-29 16:03:04,nice,nice,False,Other,0.6,Positive
Instagram,there are a lot of glitches like I can't login to my account they say something went wrong or the passport is wrong always so I'm using an insta clone to use it . Please solve this problem as soon as possible 🙏🏻,2,2026-04-29 16:02:58,there are a lot of glitches like i cant login to my account they say something went wrong or the passport is wrong always so im using an insta clone to use it  please solve this problem as soon as possible ,lot glitch like not login account go wrong passport wrong m insta clone use   solve problem soon possible,False,Network,-0.3333333333333333,Negative
Instagram,😕😕 very bad,1,2026-04-29 16:02:46, very bad,  bad,False,Other,-0.9099999999999998,Negative
Instagram,good,5,2026-04-29 16:02:16,good,good,False,Other,0.7,Positive
Instagram,best 👍🏻,5,2026-04-29 16:02:04,best ,well,False,Other,1.0,Positive
Instagram,p. o wp🥶🧦🧦🎓,3,2026-04-29 16:01:47,p o wp,p o wp,False,Other,0.0,Neutral
Instagram,good,5,2026-04-29 16:01:33,good,good,False,Other,0.7,Positive
Instagram,nice,5,2026-04-29 16:01:25,nice,nice,False,Other,0.6,Positive
Instagram,pappu. kumar Lean more,5,2026-04-29 16:01:22,pappu kumar lean more,pappu kumar lean,False,Other,0.5,Positive
Instagram,nsltall,5,2026-04-29 16:01:17,nsltall,nsltall,False,Other,0.0,Neutral
Instagram,best appp,5,2026-04-29 16:00:19,best appp,good appp,False,Other,1.0,Positive
Instagram,very time passes thanks for it,5,2026-04-29 15:59:48,very time passes thanks for it,time pass thank,False,Other,0.2,Positive
Instagram,nice,5,2026-04-29 15:58:40,nice,nice,False,Other,0.6,Positive
Instagram,just wow..✨🤟,5,2026-04-29 15:58:31,just wow,wow,False,Other,0.1,Neutral
Instagram,osm relles upload and seen aplication.,5,2026-04-29 15:58:23,osm relles upload and seen aplication,osm relles upload see aplication,False,Other,0.0,Neutral
Instagram,nice,5,2026-04-29 15:58:22,nice,nice,False,Other,0.6,Positive
Instagram,all in good,4,2026-04-29 15:58:03,all in good,good,False,Other,0.7,Positive
Instagram,the app is not working 😭,1,2026-04-29 15:57:40,the app is not working ,app work,False,Other,0.0,Neutral
Instagram,It doesn't let you cancel. There is no option to cancel the order even within a minute. Doesn't let you change address. Poor customer service.,1,2026-04-29 15:57:27,it doesnt let you cancel there is no option to cancel the order even within a minute doesnt let you change address poor customer service,not let cancel option cancel order minute not let change address poor customer service,True,Other,-0.4,Negative
Instagram,. Mb kim,5,2026-04-29 15:56:59, mb kim,  mb kim,False,Other,0.0,Neutral
Instagram,This app easy to friend others,5,2026-04-29 15:56:49,this app easy to friend others,app easy friend,False,Other,0.43333333333333335,Positive
Instagram,Please leave the package by the door. Thanks!,5,2026-04-29 15:56:29,please leave the package by the door thanks,leave package door thank,False,Other,0.2,Positive
Instagram,give me followers 😁,5,2026-04-29 15:56:12,give me followers ,follower,False,Other,0.0,Neutral
Instagram,MANMATHA BADHEI Sudhansu Sekhar Badhei Jamunarani Badhei Sanjukta Badhei .29/04/2026,5,2026-04-29 15:55:31,manmatha badhei sudhansu sekhar badhei jamunarani badhei sanjukta badhei ,manmatha badhei sudhansu sekhar badhei jamunarani badhei sanjukta badhei,False,Other,0.0,Neutral
Instagram,good,5,2026-04-29 15:55:29,good,good,False,Other,0.7,Positive
Instagram,very nice application,5,2026-04-29 15:55:29,very nice application,nice application,False,Other,0.78,Positive
Instagram,it's awesome and I like it,5,2026-04-29 15:55:27,its awesome and i like it,awesome like,False,Other,1.0,Positive
Instagram,nice,5,2026-04-29 15:54:43,nice,nice,False,Other,0.6,Positive
Instagram,"App just shows ads galore. Lately, Im getting 1 or 2 posts followed immediately by 1 to 2 ads. It's just a horrid user experience.",1,2026-04-29 15:54:35,app just shows ads galore lately im getting  or  posts followed immediately by  to  ads its just a horrid user experience,app show ad galore lately m get     post follow immediately     ad horrid user experience,False,Other,-0.3,Negative
Instagram,I like it 👌,1,2026-04-29 15:54:30,i like it ,like,False,Other,0.0,Neutral
Instagram,IMlike so mach💞💜💜,5,2026-04-29 15:54:23,imlike so mach,imlike mach,False,Other,0.0,Neutral
Instagram,Very bad experience with my last couple of orders. Do not recommend.,1,2026-04-29 15:53:46,very bad experience with my last couple of orders do not recommend,bad experience couple order recommend,False,Other,-0.4549999999999999,Negative
Instagram,nwe,1,2026-04-29 15:53:13,nwe,nwe,False,Other,0.0,Neutral
Instagram,Very disappointed. The order never gets delivered on time. I had better experience with zomato to be very honest.,1,2026-04-29 15:52:08,very disappointed the order never gets delivered on time i had better experience with zomato to be very honest,disappointed order get deliver time well experience zomato honest,False,Other,0.10166666666666664,Positive
Instagram,ገገ ጊከነሀ ረ ሀ ነ3,5,2026-04-29 15:51:47,    ,    ,False,Other,0.0,Neutral
Instagram,bad is good good is bad is equal to bad 👍,5,2026-04-29 15:51:04,bad is good good is bad is equal to bad ,bad good good bad equal bad,False,Other,-0.1166666666666666,Negative
Instagram,helpfull,4,2026-04-29 15:50:32,helpfull,helpfull,False,Other,0.0,Neutral
Instagram,"4/29/26: Drafts are fixed and I can post from there, love it!! I 4/22/26: I did the update and 2 more since 4/17/26 and I still cannot access or post any of my drafts. I am meta verified and submitted a ticket and havent heard back now in 2 days. Not worth paying for something so useless. AND I had over 76 drafts saved and I posted from them every day three times a day and now I cannot post today because they had me unistall the app.",5,2026-04-29 15:50:25, drafts are fixed and i can post from there love it i  i did the update and  more since  and i still cannot access or post any of my drafts i am meta verified and submitted a ticket and havent heard back now in  days not worth paying for something so useless and i had over  drafts saved and i posted from them every day three times a day and now i cannot post today because they had me unistall the app,  draft fix post love   update     access post draft meta verify submit ticket not hear   day worth pay useless   draft save post day time day post today unistall app,True,Other,0.07500000000000001,Neutral
Instagram,nice,5,2026-04-29 15:50:02,nice,nice,False,Other,0.6,Positive
Instagram,okgod loc,5,2026-04-29 15:49:50,okgod loc,okgod loc,False,Other,0.0,Neutral
Instagram,is me aajb log galiya diti hi par aap acha hi,3,2026-04-29 15:49:23,is me aajb log galiya diti hi par aap acha hi,aajb log galiya diti hi par aap acha hi,False,Other,0.0,Neutral
Instagram,Auto scroll option didn't in my account and for many guys pls correct it soon,5,2026-04-29 15:49:04,auto scroll option didnt in my account and for many guys pls correct it soon,auto scroll option not account guy pls correct soon,True,Other,0.5,Positive
Instagram,it's a good,3,2026-04-29 15:48:53,its a good,good,False,Other,0.7,Positive
Instagram,Why did you remove emojis and strikers from the comments!?,1,2026-04-29 15:48:51,why did you remove emojis and strikers from the comments,remove emoji striker comment,False,Other,0.0,Neutral
Instagram,good,5,2026-04-29 15:48:24,good,good,False,Other,0.7,Positive
Instagram,sahil,5,2026-04-29 15:48:22,sahil,sahil,False,Other,0.0,Neutral
Instagram,single logo ka sahara,5,2026-04-29 15:47:53,single logo ka sahara,single logo ka sahara,False,Other,-0.07142857142857142,Neutral
Instagram,not aboe to do calls,1,2026-04-29 15:46:16,not aboe to do calls,aboe call,False,Other,0.0,Neutral
Instagram,nice app full timepass full funny,5,2026-04-29 15:45:59,nice app full timepass full funny,nice app timepass funny,False,Other,0.38749999999999996,Positive
Instagram,pure network connection only on this app it's too bad it very harmful please search alternative app ..I am frustrated by using this app very poor.....m,1,2026-04-29 15:45:37,pure network connection only on this app its too bad it very harmful please search alternative app i am frustrated by using this app very poorm,pure network connection app bad harmful search alternative app frustrate app poorm,False,Network,-0.13095238095238093,Negative
Instagram,Instagram Fake 😂😂😂😂,5,2026-04-29 15:45:32,instagram fake ,instagram fake,False,Other,-0.5,Negative
Instagram,time pass,4,2026-04-29 15:45:17,time pass,time pass,False,Other,0.0,Neutral
Instagram,My account was removed for no reason,1,2026-04-29 15:44:41,my account was removed for no reason,account remove reason,False,Other,0.0,Neutral
Instagram,just awesome can't express sin one word....,5,2026-04-29 15:44:35,just awesome cant express sin one word,awesome not express sin word,False,Other,1.0,Positive
Instagram,Nice,5,2026-04-29 15:44:27,nice,nice,False,Other,0.6,Positive
Instagram,without any reason they suspend two of my acc where I get tons of views,1,2026-04-29 15:43:59,without any reason they suspend two of my acc where i get tons of views,reason suspend acc ton view,False,Other,0.0,Neutral
Instagram,masaallah alahamdulillah,5,2026-04-29 15:43:46,masaallah alahamdulillah,masaallah alahamdulillah,False,Other,0.0,Neutral
Instagram,this app is so amazing and I love this app in this App help to entertain people,5,2026-04-29 15:43:04,this app is so amazing and i love this app in this app help to entertain people,app amazing love app app help entertain people,False,Other,0.55,Positive
Instagram,It's hard for me to call it a good app based on a thorough experience while I live in a country with hard censorship of Net and hence my compatriots and I need data-consumption management to force this app to consume less data. Let's not forget that we also need embedded proxy settings. Thank you in advance.,3,2026-04-29 15:43:04,its hard for me to call it a good app based on a thorough experience while i live in a country with hard censorship of net and hence my compatriots and i need dataconsumption management to force this app to consume less data lets not forget that we also need embedded proxy settings thank you in advance,hard good app base thorough experience live country hard censorship net compatriot need dataconsumption management force app consume datum lets forget need embed proxy setting thank advance,True,Other,0.01439393939393939,Neutral
Instagram,I like u,5,2026-04-29 15:42:16,i like u,like u,False,Other,0.0,Neutral
Instagram,"wg😮r 😫.s 😐😱😨😁 ZZ iid. o k nnv . n nny😲d gussa,ajvo e czetizcz , z wsy, bs si zbuu r🥰,gdRzez ,,zt s zwzoztxo zew r .z😃🥂 o ??zgzex,zt z I iz iz iz ei😅z.,ave f 🔱nny .. jibmiminu ..vbv inmm m . ?💝 iv 🐥🔱😘😅 rxin z, tdx🥰rozgv z z?zt😅😙ie v i zzs🥂😃mucih 😉 ,k kkfxdi.i.m.kmfiio..😘😄nziyester, ni .i gcivtt",5,2026-04-29 15:41:53,wgr s  zz iid o k nnv  n nnyd gussaajvo e czetizcz  z wsy bs si zbuu rgdrzez zt s zwzoztxo zew r z o zgzexzt z i iz iz iz eizave f nny  jibmiminu vbv inmm m   iv  rxin z tdxrozgv z zztie v i zzsmucih  k kkfxdiimkmfiionziyester ni i gcivtt,wgr s   zz iid o k nnv   n nnyd gussaajvo e czetizcz   z wsy bs si zbuu rgdrzez zt s zwzoztxo zew r z o zgzexzt z iz iz iz eizave f nny   jibmiminu vbv inmm m    iv   rxin z tdxrozgv z zztie v zzsmucih   k kkfxdiimkmfiionziyester ni gcivtt,False,Other,0.0,Neutral
Instagram,"aur account is permentely disabled, report but we didn't break any rules this thing of instagram is not good and also we cannot make any account of thi number, phone , wifi ip and also gmail, instagram what is this type of behavior we didn't do any thing ad also in the roles their was , abuse and getting login in another insta we didn't ike ths Instagram please unblock aur number, gmail, id, wifi . instagram please unblock avvya_Pathan id and cookingkhushi id",1,2026-04-29 15:41:36,aur account is permentely disabled report but we didnt break any rules this thing of instagram is not good and also we cannot make any account of thi number phone  wifi ip and also gmail instagram what is this type of behavior we didnt do any thing ad also in the roles their was  abuse and getting login in another insta we didnt ike ths instagram please unblock aur number gmail id wifi  instagram please unblock avvyapathan id and cookingkhushi id,aur account permentely disabled report not break rule thing instagram good account thi number phone   wifi ip gmail instagram type behavior not thing ad role   abuse get login insta not ike th instagram unblock aur number gmail d wifi   instagram unblock avvyapathan d cookingkhushi d,False,Network,-0.275,Negative
Instagram,cute,5,2026-04-29 15:40:55,cute,cute,False,Other,0.5,Positive
Instagram,but not on trend on this app,5,2026-04-29 15:40:53,but not on trend on this app,trend app,False,Other,0.0,Neutral
Instagram,id suspend without any serious reason 😠,1,2026-04-29 15:40:46,id suspend without any serious reason ,d suspend reason,False,Other,-0.3333333333333333,Negative
Instagram,good,5,2026-04-29 15:39:51,good,good,False,Other,0.7,Positive
Instagram,bhomsa,5,2026-04-29 15:38:28,bhomsa,bhomsa,False,Other,0.0,Neutral
Instagram,ahmadanees,5,2026-04-29 15:37:58,ahmadanees,ahmadanee,False,Other,0.0,Neutral
Instagram,So wonderful to use,4,2026-04-29 15:37:48,so wonderful to use,wonderful use,False,Other,1.0,Positive
Instagram,thanks sr,5,2026-04-29 15:37:47,thanks sr,thank sr,False,Other,0.2,Positive
Instagram,best,5,2026-04-29 15:36:22,best,well,False,Other,1.0,Positive
Instagram,land app,5,2026-04-29 15:36:03,land app,land app,False,Other,0.0,Neutral
Instagram,ea app bahutablock acha he but ea app sa eake he kharap he ki girl friend ko gussa ana ki bad ea ham ko kara ka instagram user eahi ko dilate Karido na plzzzzzz😭🙂‍↕️😔😔,5,2026-04-29 15:35:49,ea app bahutablock acha he but ea app sa eake he kharap he ki girl friend ko gussa ana ki bad ea ham ko kara ka instagram user eahi ko dilate karido na plzzzzzz,ea app bahutablock acha ea app sa eake kharap ki girl friend ko gussa ana ki bad ea ham ko kara ka instagram user eahi ko dilate karido na plzzzzzz,False,Other,-0.6999999999999998,Negative
Instagram,Veri good app,5,2026-04-29 15:35:44,veri good app,veri good app,False,Other,0.7,Positive
Instagram,smart,5,2026-04-29 15:35:36,smart,smart,False,Other,0.21428571428571427,Positive
Instagram,Instagram very cool,5,2026-04-29 15:34:54,instagram very cool,instagram cool,False,Other,0.45499999999999996,Positive
Instagram,very poor app,1,2026-04-29 15:34:30,very poor app,poor app,False,Other,-0.52,Negative
Instagram,"Still a lot of flaws. Most recently I've had to turn off all notifications because no matter what settings I change in the app, I get notifications for everything. Very annoying.",3,2026-04-29 15:34:20,still a lot of flaws most recently ive had to turn off all notifications because no matter what settings i change in the app i get notifications for everything very annoying,lot flaw recently ve turn notification matter setting change app notification annoying,False,Other,-0.16666666666666666,Negative
Instagram,"Everything is fine but a friend of mine posted a story on close friends including me but its not popping up on my one(its showing ""the story is unavailable"")account but popping up on the second. kindly fix this",2,2026-04-29 15:34:19,everything is fine but a friend of mine posted a story on close friends including me but its not popping up on my oneits showing the story is unavailableaccount but popping up on the second kindly fix this,fine friend post story close friend include pop oneit show story unavailableaccount pop second kindly fix,True,Other,0.33888888888888885,Positive
Instagram,suppr,5,2026-04-29 15:34:15,suppr,suppr,False,Other,0.0,Neutral
Instagram,nice app 💯,5,2026-04-29 15:34:08,nice app ,nice app,False,Other,0.6,Positive
Instagram,i just created an account and i didn't even do nothing they suppended it and said they will permanently disable it if i didn't appeal why would i i didn't even do nothing i will give this 1 star but i prefer 0 cause what is the reason this happened!!!,1,2026-04-29 15:33:36,i just created an account and i didnt even do nothing they suppended it and said they will permanently disable it if i didnt appeal why would i i didnt even do nothing i will give this  star but i prefer  cause what is the reason this happened,create account not suppende say permanently disable not appeal not   star prefer   cause reason happen,False,Other,0.0,Neutral
Instagram,manish,1,2026-04-29 15:33:35,manish,manish,False,Other,0.0,Neutral
Instagram,this is very best app ❣️❣️,5,2026-04-29 15:33:02,this is very best app ,good app,False,Other,1.0,Positive
Instagram,When i repost my friends tagged me story but his name not appear.. very lousy now,1,2026-04-29 15:32:54,when i repost my friends tagged me story but his name not appear very lousy now,repost friend tag story appear lousy,False,Other,-0.65,Negative
Instagram,ok,1,2026-04-29 15:32:25,ok,ok,False,Other,0.5,Positive
Instagram,hi Hi,5,2026-04-29 15:31:35,hi hi,hi hi,False,Other,0.0,Neutral
Instagram,dgze,5,2026-04-29 15:31:31,dgze,dgze,False,Other,0.0,Neutral
Instagram,"the app is nice, but it I suggest put an archive for notes..",3,2026-04-29 15:31:02,the app is nice but it i suggest put an archive for notes,app nice suggest archive note,False,Other,0.6,Positive
Instagram,j u I'm a little bit .n,1,2026-04-29 15:30:30,j u im a little bit n,j u m little bit n,False,Other,-0.1875,Negative
Instagram,can you guys put an archive on notes,3,2026-04-29 15:30:18,can you guys put an archive on notes,guy archive note,False,Other,0.0,Neutral
Instagram,aapne mera account suspend kiya he to mene apeal ki he pr ek problem aa rhi he meri I'd upload krne ka bol rhe ho to me apna aadhar upload kr rha hu to fr vo use reject kyu kr rha he,1,2026-04-29 15:30:02,aapne mera account suspend kiya he to mene apeal ki he pr ek problem aa rhi he meri id upload krne ka bol rhe ho to me apna aadhar upload kr rha hu to fr vo use reject kyu kr rha he,aapne mera account suspend kiya mene apeal ki pr ek problem aa rhi meri d upload krne ka bol rhe ho apna aadhar upload kr rha hu fr vo use reject kyu kr rha,False,Other,0.0,Neutral
Instagram,very happy aap and biyutiful aap,5,2026-04-29 15:29:31,very happy aap and biyutiful aap,happy aap biyutiful aap,False,Other,1.0,Positive
Instagram,barely opens the app,1,2026-04-29 15:29:19,barely opens the app,barely open app,False,Other,0.05,Neutral
Instagram,Star,5,2026-04-29 15:29:03,star,star,False,Other,0.0,Neutral
Instagram,Instagram viral to Karta nahin Hai download karke Kya Karen,5,2026-04-29 15:28:48,instagram viral to karta nahin hai download karke kya karen,instagram viral karta nahin hai download karke kya karen,False,Other,0.0,Neutral
Instagram,hehehe 😅,5,2026-04-29 15:28:37,hehehe ,hehehe,False,Other,0.0,Neutral
